Command,Hit level,Damage,Start up frame,Block frame,Hit frame,Counter hit frame,Notes
1,h,7,10,+1,+8,+8,NA
2,h,10,12,-6,+5,+5,NA
3,m,12,14~15,-12~-11,-1~0,-1~0,NA
4,h,24,13~14,-5~-4,KND,KND,"Tail spin, Homing"
f+1,h,7,10,+1,+8,+8,NA
f+2,m,12,17~18,-4~-3,+7~+8,+7~+8,NA
f+3,h,13,14~15,-14~-13,-3~-2,-3~-2,NA
f+4,m,14,16,-12,-2,-2,Homing
d/f+1,m,10,13,-6,+5,+8,NA
d/f+2,m,16,16~17,-9~-8,Launch (JG?)(+7),Launch (JG?),NA
d/f+3,m,14,16,-9,+1,+1,NA
d/f+4,m,13,12,-7,+4,+4,NA
d+1,Sm (TC),5,10s cs4~,-5,+6,+6,NA
d+2,m,17,24~26,-14~-12,+2~+4s,+2~+4s,NA
d+3,"l (TJ), (Special) (TC)",17,23~32s js9~,-10~-1,+8~+17,KND,NA
d+4,l,15,17~18,-16~-15,-5~-4,-5~-4,NA
d/b+1,(Special) (TC),NA,s(cs4~) 15~,NA,NA,NA,NA
d/b+2,m,17,18~19,-18~-17,-5~-4,-5~-4,NA
d/b+3,l (TC),11,16s cs4~,-12,-1,+4,NA
d/b+4,l (TC),23,24~25a cs6~,-17~-16,KND,KND,NA
b+1,m,15,15~16s,-5~-4,+8~+9,+8~+9,NA
b+2,m,12,18,-12,-2,-2,NA
b+3,m,26,20~22,-8~-6,ED,ED,Homing
b+4,m,17,15~16,-13~-12,-4~-3,CS,NA
